-6.7	9.6435e-06
-6.6	0.000187362
-6.5	0.000430646
-6.4	0.000752749
-6.3	0.00138567
-6.2	0.00202588
-6.1	0.00284393
-6	0.00389485
-5.9	0.00524377
-5.8	0.00697501
-5.7	0.00915574
-5.6	0.0120096
-5.5	0.0155068
-5.4	0.0198616
-5.3	0.0252509
-5.2	0.0318304
-5.1	0.0399346
-5	0.049809
-4.9	0.0617605
-4.8	0.0761
-4.7	0.0932734
-4.6	0.113958
-4.5	0.138414
-4.4	0.167145
-4.3	0.200362
-4.2	0.237931
-4.1	0.279381
-4	0.323954
-3.9	0.368918
-3.8	0.412755
-3.7	0.453339
-3.6	0.489776
-3.5	0.521223
-3.4	0.547291
-3.3	0.56872
-3.2	0.586844
-3.1	0.602543
-3	0.616857
-2.9	0.629842
-2.8	0.641816
-2.7	0.653049
-2.6	0.663472
-2.5	0.673315
-2.4	0.682563
-2.3	0.69132
-2.2	0.699268
-2.1	0.707339
-2	0.714664
-1.9	0.721647
-1.8	0.72839
-1.7	0.734725
-1.6	0.740769
-1.5	0.746627
-1.4	0.752241
-1.3	0.757454
-1.2	0.762545
-1.1	0.767425
-1	0.772145
-0.9	0.776549
-0.8	0.780877
-0.7	0.785011
-0.6	0.789029
-0.5	0.792757
-0.4	0.796558
-0.3	0.800092
-0.2	0.803599
-0.1	0.807085
0	0.810304
0.1	0.813785
0.2	0.816964
0.3	0.82035
0.4	0.823533
0.5	0.826926
0.6	0.830179
0.7	0.833428
0.8	0.836461
0.9	0.839489
1	0.84235
1.1	0.845212
1.2	0.84784
1.3	0.850367
1.4	0.852762
1.5	0.855131
1.6	0.857342
1.7	0.859629
1.8	0.861668
1.9	0.863562
2	0.86552
2.1	0.867545
2.2	0.869517
2.3	0.871326
2.4	0.87329
2.5	0.875177
2.6	0.876787
2.7	0.878598
2.8	0.880689
2.9	0.882507
3	0.884152
3.1	0.885778
3.2	0.887497
3.3	0.889163
3.4	0.89071
3.5	0.892286
3.6	0.893695
3.7	0.895079
3.8	0.896547
3.9	0.897929
4	0.899263
4.1	0.900603
4.2	0.901884
4.3	0.902916
4.4	0.90435
4.5	0.905625
4.6	0.906885
4.7	0.908003
4.8	0.909245
4.9	0.910364
5	0.911624
5.1	0.912673
5.2	0.913742
5.3	0.91496
5.4	0.916026
5.5	0.917284
5.6	0.918315
5.7	0.919409
5.8	0.920548
5.9	0.921671
6	0.922938
6.1	0.923948
6.2	0.925045
6.3	0.926286
6.4	0.927496
6.5	0.928709
6.6	0.929965
6.7	0.931176
6.8	0.932625
6.9	0.934019
7	0.935599
7.1	0.937259
7.2	0.938964
7.3	0.940668
7.4	0.943113
7.5	0.945574
7.6	0.948266
7.7	0.951528
7.8	0.955157
7.9	0.959246
8	0.96393
